YEAR,MONTH,lluvia_mm,temp_max,temp_min,humedad,ph_suelo,Recomendacion
2009,OCT,7.81,26.33,15.79,92.85,8.06,poda_preventiva
2010,OCT,5.04,25.31,16.13,91.56,5.74,fertilizacion
2011,OCT,13.79,25.68,15.48,93.43,5.12,fertilizacion
2012,OCT,5.76,25.17,15.61,90.96,5.31,fertilizacion
2013,OCT,8.34,25.44,15.35,92.04,7.82,poda_preventiva
2014,OCT,9.43,25.85,16.01,92.34,3.92,fertilizacion
2015,OCT,9.4,26.93,16.92,91.34,5.85,fertilizacion
2016,OCT,11.06,26.05,15.86,93.16,8.43,poda_preventiva
2017,OCT,17.98,25.95,16.26,91.43,6.78,poda_preventiva
2018,OCT,13.14,26.69,16.08,91.98,4.07,fertilizacion
2019,OCT,12.51,25.66,16.04,93.36,4.23,fertilizacion
2020,OCT,13.55,25.92,16.48,92.39,6.37,poda_preventiva
2021,OCT,7.6,26.15,16.38,90.83,3.84,fertilizacion
2022,OCT,9.1,25.53,16.11,91.46,5.39,fertilizacion
2023,OCT,12.31,26.68,17.48,92.57,5.2,fertilizacion
2024,OCT,12.39,26.76,17.47,93.06,8.41,poda_preventiva
1981,NOV,9.18,24.98,14.72,92.54,3.49,fertilizacion
1982,NOV,2.71,24.83,14.12,90.15,6.75,poda_preventiva
1983,NOV,3.01,24.97,14.96,92.17,6.33,poda_preventiva
1984,NOV,2.27,23.97,12.75,90.17,5.68,fertilizacion
1985,NOV,2.4,25.14,14.97,88.18,3.7,fertilizacion
1986,NOV,4.5,24.74,14.42,91.29,5.45,fertilizacion
1987,NOV,2.62,25.33,15.63,89.44,4.91,fertilizacion
1988,NOV,3.49,25.53,14.72,89.58,7.03,poda_preventiva
1989,NOV,2.43,25.6,15.3,90.96,8.28,poda_preventiva
1990,NOV,3.07,24.75,14.9,92.04,8.14,poda_preventiva
1991,NOV,3.23,25.28,13.81,89.55,3.47,fertilizacion
1992,NOV,2.72,25.47,15.47,88.81,3.77,fertilizacion
1993,NOV,1.06,25.3,15.52,88.47,7.67,poda_preventiva
1994,NOV,3.49,26.31,14.88,90.63,7.09,poda_preventiva
1995,NOV,2.42,24.94,15.93,90.12,7.25,poda_preventiva
1996,NOV,3.81,26.35,15.0,88.92,5.55,fertilizacion
1997,NOV,4.29,25.79,16.48,93.42,6.78,poda_preventiva
1998,NOV,4.9,25.19,14.8,92.67,6.63,poda_preventiva
1999,NOV,4.98,25.14,15.38,91.78,8.66,poda_preventiva
2000,NOV,4.82,25.31,14.26,90.86,7.65,poda_preventiva
2001,NOV,6.51,25.53,14.35,92.67,6.72,poda_preventiva
2002,NOV,9.59,24.79,15.44,92.22,4.97,fertilizacion
2003,NOV,5.72,25.16,15.76,93.48,3.57,fertilizacion
2004,NOV,11.51,25.9,13.22,92.47,3.75,fertilizacion
2005,NOV,7.46,25.02,14.45,92.86,3.74,fertilizacion
2006,NOV,5.3,25.23,14.09,92.86,4.92,fertilizacion
2007,NOV,13.28,24.3,15.82,94.14,8.61,poda_preventiva
2008,NOV,6.77,25.15,14.99,92.71,5.56,fertilizacion
2009,NOV,4.83,24.77,15.52,91.88,3.49,fertilizacion
2010,NOV,12.43,24.75,14.27,92.29,5.43,fertilizacion
2011,NOV,7.01,24.62,15.3,91.93,6.36,poda_preventiva
2012,NOV,7.22,25.09,16.05,92.55,4.23,fertilizacion
2013,NOV,8.29,25.49,14.06,90.96,8.02,poda_preventiva
2014,NOV,7.6,25.58,15.46,93.04,6.8,poda_preventiva
2015,NOV,8.69,25.73,16.28,92.71,4.56,fertilizacion
2016,NOV,12.83,25.63,15.53,93.65,3.86,fertilizacion
2017,NOV,5.4,25.73,15.64,92.08,6.27,poda_preventiva
2018,NOV,5.21,25.69,15.37,91.26,4.94,fertilizacion
2019,NOV,9.94,25.17,14.19,91.56,7.25,poda_preventiva
2020,NOV,16.18,26.19,16.56,92.52,4.59,fertilizacion
2021,NOV,4.09,25.94,14.78,90.33,5.7,fertilizacion
2022,NOV,11.4,25.67,15.34,92.97,7.1,poda_preventiva
2023,NOV,9.81,26.1,16.67,93.77,5.32,fertilizacion
2024,NOV,25.99,25.46,16.24,94.04,7.75,poda_preventiva
1981,DEC,4.26,24.22,14.84,91.0,7.82,poda_preventiva
1982,DEC,3.59,25.02,14.36,90.46,7.49,poda_preventiva
1983,DEC,3.31,24.19,14.31,91.35,3.52,fertilizacion
1984,DEC,2.01,23.51,15.3,89.25,8.93,riego
1985,DEC,2.03,24.95,13.74,88.1,8.93,poda_preventiva
1986,DEC,3.83,24.34,13.29,90.04,7.84,poda_preventiva
1987,DEC,1.59,25.75,14.87,87.88,8.29,poda_preventiva
1988,DEC,1.14,24.07,15.93,87.92,6.19,poda_preventiva
1989,DEC,2.15,24.7,13.8,88.1,4.46,fertilizacion
1990,DEC,2.25,25.2,15.24,89.42,4.19,fertilizacion
1991,DEC,1.96,25.24,14.8,88.0,5.6,fertilizacion
1992,DEC,0.92,25.26,14.89,85.87,4.51,fertilizacion
1993,DEC,1.28,24.84,15.4,85.61,5.93,fertilizacion
1994,DEC,1.01,25.16,13.47,85.28,4.73,fertilizacion
1995,DEC,0.67,25.32,14.62,87.44,6.81,poda_preventiva
1996,DEC,2.33,24.17,15.53,86.57,3.2,fertilizacion
1997,DEC,2.07,24.79,14.09,89.12,8.25,poda_preventiva
1998,DEC,8.7,24.06,16.43,93.44,5.94,fertilizacion
1999,DEC,8.6,23.39,14.69,92.98,5.0,fertilizacion
2000,DEC,2.66,24.15,13.87,90.55,6.19,poda_preventiva
2001,DEC,2.25,24.9,14.59,90.76,6.17,poda_preventiva
2002,DEC,4.18,24.22,14.28,90.57,3.22,fertilizacion
2003,DEC,5.25,24.02,15.17,92.23,6.35,poda_preventiva
2004,DEC,5.35,24.33,14.97,91.37,4.52,fertilizacion
2005,DEC,2.0,24.76,12.42,89.21,6.71,poda_preventiva
2006,DEC,5.48,24.74,15.84,91.77,8.56,poda_preventiva
2007,DEC,10.68,24.05,12.76,91.4,4.75,fertilizacion
2008,DEC,2.54,24.51,14.88,90.29,4.86,fertilizacion
2009,DEC,1.44,25.53,16.12,89.56,8.75,poda_preventiva
2010,DEC,7.06,23.74,13.49,90.79,4.84,fertilizacion
2011,DEC,5.78,23.87,15.88,92.65,6.38,riego
2012,DEC,4.1,25.17,14.78,91.08,8.79,poda_preventiva
2013,DEC,3.91,24.51,13.58,90.61,4.18,fertilizacion
2014,DEC,10.18,24.86,13.97,92.94,5.15,fertilizacion
2015,DEC,4.19,25.43,16.26,91.26,4.37,fertilizacion
2016,DEC,5.71,24.82,15.44,93.04,4.38,fertilizacion
2017,DEC,5.0,25.16,14.9,91.82,8.41,poda_preventiva
2018,DEC,2.1,24.99,15.61,89.8,3.84,fertilizacion
2019,DEC,6.34,24.73,15.99,91.88,7.27,poda_preventiva
2020,DEC,10.77,24.26,13.57,91.87,3.51,fertilizacion
2021,DEC,4.18,24.62,16.47,91.61,7.9,poda_preventiva
2022,DEC,3.39,24.12,15.47,90.88,8.67,poda_preventiva
2023,DEC,4.84,25.7,16.68,91.62,3.69,fertilizacion
2024,DEC,7.89,24.69,16.22,93.15,3.6,fertilizacion
